iter	Logloss
0	0.6036997663
1	0.5363659971
2	0.4861798398
3	0.4472212829
4	0.4177415016
5	0.3894467665
6	0.3715258566
7	0.3552950867
8	0.343557054
9	0.3347141276
10	0.3264333063
11	0.3179492203
12	0.3083416413
13	0.3040536427
14	0.2987953365
15	0.2925588344
16	0.2873613044
17	0.2845441455
18	0.2792774131
19	0.2777060168
20	0.2702534728
21	0.2682188348
22	0.2656846806
23	0.2579262039
24	0.2538499957
25	0.2493111035
26	0.2462121152
27	0.242385426
28	0.2412820522
29	0.2410831501
30	0.2390244287
31	0.2373264801
32	0.2354680751
33	0.2330948354
34	0.2322585303
35	0.2299027007
36	0.228260608
37	0.2270124152
38	0.2250046294
39	0.2220880693
40	0.2213139148
41	0.2193742159
