iter	Passed	Remaining
0	61	182990
1	110	165514
2	172	172127
3	235	176210
4	283	169947
5	342	170783
6	400	171133
7	457	171206
8	509	169166
9	564	168638
10	621	169010
11	682	169885
12	738	169733
13	796	169824
14	851	169502
15	918	171292
16	979	171796
17	1031	170807
18	1093	171565
19	1146	170788
20	1200	170357
21	1257	170251
22	1315	170263
23	1376	170678
24	1439	171332
25	1498	171423
26	1558	171580
27	1615	171431
28	1674	171562
29	1725	170782
30	1788	171248
31	1843	171029
32	1900	170854
33	1960	170982
34	2013	170576
35	2073	170748
36	2132	170812
37	2190	170715
38	2247	170666
39	2305	170605
40	2359	170280
41	2423	170682
